"Soma","Perfil","Detalhe"
1,"Conservador","É aquele que tem forte repulsa ao risco e prefere aplicações seguras. Ou seja, não está disposto a perder mesmo diante da forte possibilidade de altos ganhos. Assim, esse investidor opta por retornos certos."
2,"Conservador","É aquele que tem forte repulsa ao risco e prefere aplicações seguras. Ou seja, não está disposto a perder mesmo diante da forte possibilidade de altos ganhos. Assim, esse investidor opta por retornos certos."
3,"Conservador","É aquele que tem forte repulsa ao risco e prefere aplicações seguras. Ou seja, não está disposto a perder mesmo diante da forte possibilidade de altos ganhos. Assim, esse investidor opta por retornos certos."
4,"Conservador","É aquele que tem forte repulsa ao risco e prefere aplicações seguras. Ou seja, não está disposto a perder mesmo diante da forte possibilidade de altos ganhos. Assim, esse investidor opta por retornos certos."
5,"Conservador","É aquele que tem forte repulsa ao risco e prefere aplicações seguras. Ou seja, não está disposto a perder mesmo diante da forte possibilidade de altos ganhos. Assim, esse investidor opta por retornos certos."
6,"Conservador","É aquele que tem forte repulsa ao risco e prefere aplicações seguras. Ou seja, não está disposto a perder mesmo diante da forte possibilidade de altos ganhos. Assim, esse investidor opta por retornos certos."
7,"Conservador","É aquele que tem forte repulsa ao risco e prefere aplicações seguras. Ou seja, não está disposto a perder mesmo diante da forte possibilidade de altos ganhos. Assim, esse investidor opta por retornos certos."
8,"Conservador","É aquele que tem forte repulsa ao risco e prefere aplicações seguras. Ou seja, não está disposto a perder mesmo diante da forte possibilidade de altos ganhos. Assim, esse investidor opta por retornos certos."
9,"Conservador","É aquele que tem forte repulsa ao risco e prefere aplicações seguras. Ou seja, não está disposto a perder mesmo diante da forte possibilidade de altos ganhos. Assim, esse investidor opta por retornos certos."
10,"Moderado","Esse perfil prefere a segurança patrimonial, mas aceita arriscar em algumas situações. Com isso, há uma versatilidade nos tipos de investimentos"
11,"Moderado","Esse perfil prefere a segurança patrimonial, mas aceita arriscar em algumas situações. Com isso, há uma versatilidade nos tipos de investimentos"
12,"Moderado","Esse perfil prefere a segurança patrimonial, mas aceita arriscar em algumas situações. Com isso, há uma versatilidade nos tipos de investimentos"
13,"Moderado","Esse perfil prefere a segurança patrimonial, mas aceita arriscar em algumas situações. Com isso, há uma versatilidade nos tipos de investimentos"
14,"Moderado","Esse perfil prefere a segurança patrimonial, mas aceita arriscar em algumas situações. Com isso, há uma versatilidade nos tipos de investimentos"
15,"Moderado","Esse perfil prefere a segurança patrimonial, mas aceita arriscar em algumas situações. Com isso, há uma versatilidade nos tipos de investimentos"
16,"Moderado","Esse perfil prefere a segurança patrimonial, mas aceita arriscar em algumas situações. Com isso, há uma versatilidade nos tipos de investimentos"
17,"Moderado","Esse perfil prefere a segurança patrimonial, mas aceita arriscar em algumas situações. Com isso, há uma versatilidade nos tipos de investimentos"
18,"Moderado","Esse perfil prefere a segurança patrimonial, mas aceita arriscar em algumas situações. Com isso, há uma versatilidade nos tipos de investimentos"
19,"Moderado","Esse perfil prefere a segurança patrimonial, mas aceita arriscar em algumas situações. Com isso, há uma versatilidade nos tipos de investimentos"
20,"Moderado","Esse perfil prefere a segurança patrimonial, mas aceita arriscar em algumas situações. Com isso, há uma versatilidade nos tipos de investimentos"
21,"Moderado","Esse perfil prefere a segurança patrimonial, mas aceita arriscar em algumas situações. Com isso, há uma versatilidade nos tipos de investimentos"
22,"Moderado","Esse perfil prefere a segurança patrimonial, mas aceita arriscar em algumas situações. Com isso, há uma versatilidade nos tipos de investimentos"
23,"Moderado","Esse perfil prefere a segurança patrimonial, mas aceita arriscar em algumas situações. Com isso, há uma versatilidade nos tipos de investimentos"
24,"Moderado","Esse perfil prefere a segurança patrimonial, mas aceita arriscar em algumas situações. Com isso, há uma versatilidade nos tipos de investimentos"
25,"Moderado","Esse perfil prefere a segurança patrimonial, mas aceita arriscar em algumas situações. Com isso, há uma versatilidade nos tipos de investimentos"
26,"Arrojado","A pessoa de perfil agressivo ou arrojado está em busca de rendimentos maiores e disposta a correr riscos para que isso aconteça. Conta-se, portanto, com a imprevisibilidade e as perdas em curto prazo para que se tenha altos ganhos em um tempo maior."
27,"Arrojado","A pessoa de perfil agressivo ou arrojado está em busca de rendimentos maiores e disposta a correr riscos para que isso aconteça. Conta-se, portanto, com a imprevisibilidade e as perdas em curto prazo para que se tenha altos ganhos em um tempo maior."
28,"Arrojado","A pessoa de perfil agressivo ou arrojado está em busca de rendimentos maiores e disposta a correr riscos para que isso aconteça. Conta-se, portanto, com a imprevisibilidade e as perdas em curto prazo para que se tenha altos ganhos em um tempo maior."
29,"Arrojado","A pessoa de perfil agressivo ou arrojado está em busca de rendimentos maiores e disposta a correr riscos para que isso aconteça. Conta-se, portanto, com a imprevisibilidade e as perdas em curto prazo para que se tenha altos ganhos em um tempo maior."
30,"Arrojado","A pessoa de perfil agressivo ou arrojado está em busca de rendimentos maiores e disposta a correr riscos para que isso aconteça. Conta-se, portanto, com a imprevisibilidade e as perdas em curto prazo para que se tenha altos ganhos em um tempo maior."
31,"Arrojado","A pessoa de perfil agressivo ou arrojado está em busca de rendimentos maiores e disposta a correr riscos para que isso aconteça. Conta-se, portanto, com a imprevisibilidade e as perdas em curto prazo para que se tenha altos ganhos em um tempo maior."
32,"Arrojado","A pessoa de perfil agressivo ou arrojado está em busca de rendimentos maiores e disposta a correr riscos para que isso aconteça. Conta-se, portanto, com a imprevisibilidade e as perdas em curto prazo para que se tenha altos ganhos em um tempo maior."
33,"Arrojado","A pessoa de perfil agressivo ou arrojado está em busca de rendimentos maiores e disposta a correr riscos para que isso aconteça. Conta-se, portanto, com a imprevisibilidade e as perdas em curto prazo para que se tenha altos ganhos em um tempo maior."
34,"Arrojado","A pessoa de perfil agressivo ou arrojado está em busca de rendimentos maiores e disposta a correr riscos para que isso aconteça. Conta-se, portanto, com a imprevisibilidade e as perdas em curto prazo para que se tenha altos ganhos em um tempo maior."
